timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788191374.236004,mouse_click,up,*2965,*1474,Button.left
1788191374.9076188,mouse_move,,*2961,*1471,
1788191374.925727,mouse_move,,*2955,*1470,
1788191374.943142,mouse_move,,*2950,*1473,
1788191374.9652774,mouse_move,,*2949,*1477,
1788191374.9876266,mouse_move,,*2948,*1480,
1788191375.0177515,mouse_move,,*2949,*1482,
1788191375.0286973,mouse_move,,*2952,*1484,
1788191375.0452883,mouse_move,,*2956,*1486,
1788191375.0599566,mouse_move,,*2962,*1486,
1788191375.0958042,mouse_move,,*2965,*1483,
1788191375.116044,mouse_move,,*2960,*1486,
1788191375.1470654,mouse_move,,*2956,*1490,
1788191375.1678,mouse_move,,*2953,*1497,
1788191375.1865473,mouse_move,,*2953,*1501,
1788191375.207751,mouse_move,,*2955,*1503,
1788191375.2386458,mouse_move,,*2956,*1504,
1788191375.2613459,mouse_move,,*2959,*1505,
1788191375.282888,mouse_move,,*2960,*1505,
1788191375.3030279,mouse_move,,*2962,*1504,
1788191375.3211515,mouse_move,,*2965,*1502,
1788191375.3414607,mouse_move,,*2962,*1502,
1788191375.3635972,mouse_move,,*2960,*1503,
1788191375.394216,mouse_move,,*2959,*1506,
1788191375.4162228,mouse_move,,*2958,*1508,
1788191375.45029,mouse_move,,*2961,*1511,
1788191375.4731624,mouse_move,,*2964,*1513,
1788191375.4948142,mouse_move,,*2965,*1514,
1788191375.5206223,mouse_move,,*2963,*1517,
1788191375.5415227,mouse_move,,*2961,*1519,
1788191375.5639324,mouse_move,,*2961,*1522,
1788191375.584967,mouse_move,,*2963,*1526,
1788191376.001733,mouse_move,,*2965,*1528,
1788191376.0227313,mouse_move,,*2964,*1532,
1788191376.038378,mouse_move,,*2964,*1536,
1788191376.0620587,mouse_move,,*2965,*1539,
1788191376.0876112,mouse_move,,*2965,*1544,
1788191376.108128,mouse_move,,*2965,*1549,
1788191376.140515,mouse_move,,*2965,*1556,
1788191376.161037,mouse_move,,*2965,*1562,
1788191376.201293,mouse_move,,*2965,*1567,
1788191376.2216852,mouse_move,,*2965,*1573,
1788191376.2539902,mouse_move,,*2965,*1579,
1788191376.277069,mouse_move,,*2965,*1587,
1788191376.303482,mouse_move,,*2965,*1594,
1788191376.3442695,mouse_move,,*2965,*1600,
1788191376.3753033,mouse_move,,*2965,*1607,
1788191376.4005833,mouse_move,,*2965,*1615,
1788191376.4274206,mouse_move,,*2965,*1625,
1788191376.4473417,mouse_move,,*2965,*1632,
1788191376.4648654,mouse_move,,*2965,*1642,
1788191376.4796073,mouse_move,,*2965,*1652,
1788191376.513687,mouse_move,,*2965,*1663,
1788191376.5518978,mouse_move,,*2965,*1674,
1788191376.5855675,mouse_move,,*2965,*1684,
1788191376.6051314,mouse_move,,*2965,*1694,
1788191376.6293974,mouse_move,,*2965,*1705,
1788191376.6512113,mouse_move,,*2965,*1715,
1788191376.6765158,mouse_move,,*2965,*1726,
1788191376.7110915,mouse_move,,*2965,*1738,
1788191376.7410514,mouse_move,,*2965,*1748,
1788191376.7640493,mouse_move,,*2965,*1758,
1788191376.7911284,mouse_move,,*2965,*1769,
1788191376.813379,mouse_move,,*2965,*1778,
1788191376.845101,mouse_move,,*2965,*1787,
1788191376.8594382,mouse_move,,*2965,*1797,
1788191376.8758714,mouse_move,,*2965,*1808,
1788191376.9068305,mouse_move,,*2965,*1818,
1788191376.9304097,mouse_move,,*2965,*1827,
1788191376.9625652,mouse_move,,*2965,*1838,
1788191376.9949398,mouse_move,,*2965,*1849,
1788191377.0202904,mouse_move,,*2965,*1859,
1788191377.045766,mouse_move,,*2965,*1861,
1788191377.0633357,mouse_move,,*2961,*1849,
1788191377.0768344,mouse_move,,*2957,*1838,
1788191377.1105497,mouse_move,,*2953,*1828,
1788191377.129214,mouse_move,,*2949,*1819,
1788191377.1516309,mouse_move,,*2943,*1809,
1788191377.1794965,mouse_move,,*2939,*1802,
1788191377.2057,mouse_move,,*2934,*1794,
1788191377.2330406,mouse_move,,*2926,*1789,
1788191377.260285,mouse_move,,*2920,*1783,
1788191377.2893045,mouse_move,,*2914,*1779,
1788191377.3055034,mouse_move,,*2907,*1774,
1788191377.3333805,mouse_move,,*2899,*1770,
1788191377.3475018,mouse_move,,*2891,*1763,
1788191377.372659,mouse_move,,*2884,*1757,
1788191377.3987617,mouse_move,,*2875,*1752,
1788191377.425348,mouse_move,,*2868,*1747,
1788191377.4468942,mouse_move,,*2862,*1743,
1788191377.4790943,mouse_move,,*2854,*1740,
1788191377.5095878,mouse_move,,*2847,*1737,
1788191377.5420203,mouse_move,,*2841,*1734,
1788191377.560552,mouse_move,,*2836,*1732,
1788191377.585926,mouse_move,,*2831,*1730,
1788191377.614236,mouse_move,,*2826,*1727,
1788191377.627385,mouse_move,,*2821,*1726,
1788191377.6583297,mouse_move,,*2813,*1724,
1788191377.6976757,mouse_move,,*2805,*1722,
1788191377.7223287,mouse_move,,*2798,*1719,
1788191377.7427022,mouse_move,,*2792,*1716,
1788191377.7640915,mouse_move,,*2786,*1713,
1788191377.7929575,mouse_move,,*2778,*1710,
1788191377.8151026,mouse_move,,*2770,*1708,
1788191377.8350184,mouse_move,,*2762,*1707,
1788191377.8729303,mouse_move,,*2755,*1707,
1788191377.8854752,mouse_move,,*2748,*1704,
1788191377.9105308,mouse_move,,*2742,*1703,
1788191377.937384,mouse_move,,*2737,*1703,
1788191377.96094,mouse_move,,*2734,*1702,
1788191377.9897978,mouse_move,,*2729,*1701,
1788191378.018228,mouse_move,,*2724,*1700,
1788191378.0434332,mouse_move,,*2720,*1699,
1788191378.0654087,mouse_move,,*2716,*1699,
1788191378.08974,mouse_move,,*2712,*1699,
1788191378.154921,mouse_click,down,*2712,*1699,Button.left
1788191378.1995366,mouse_click,up,*2712,*1699,Button.left
1788191378.2363248,mouse_move,,*2707,*1699,
1788191378.2616677,mouse_move,,*2702,*1699,
1788191378.2857947,mouse_move,,*2697,*1698,
1788191378.305449,mouse_move,,*2694,*1698,
1788191378.3292232,mouse_move,,*2687,*1697,
1788191378.3462665,mouse_move,,*2680,*1697,
1788191378.3903155,mouse_move,,*2675,*1696,
1788191378.4278944,mouse_move,,*2670,*1692,
1788191378.4465566,mouse_move,,*2670,*1686,
1788191378.469709,mouse_move,,*2671,*1681,
1788191378.4978042,mouse_move,,*2674,*1677,
1788191378.5175903,mouse_move,,*2676,*1672,
1788191378.5425816,mouse_move,,*2680,*1671,
1788191378.56675,mouse_move,,*2684,*1672,
1788191378.578853,mouse_move,,*2688,*1675,
1788191378.6008368,mouse_move,,*2690,*1678,
1788191378.6248372,mouse_move,,*2693,*1682,
1788191378.6564178,mouse_move,,*2693,*1685,
1788191378.68196,mouse_move,,*2696,*1691,
1788191378.721492,mouse_move,,*2697,*1694,
1788191378.7445614,mouse_move,,*2698,*1698,
1788191378.770932,mouse_move,,*2699,*1701,
1788191378.7884693,mouse_move,,*2701,*1702,
1788191378.8031654,mouse_move,,*2703,*1704,
1788191378.8195696,mouse_move,,*2704,*1704,
1788191378.8441727,mouse_move,,*2708,*1704,
1788191378.8695855,mouse_move,,*2709,*1703,
1788191378.8966293,mouse_move,,*2712,*1700,
1788191378.9153621,mouse_move,,*2713,*1699,
1788191378.9439087,mouse_move,,*2713,*1696,
1788191378.9880064,mouse_move,,*2716,*1693,
1788191379.0339782,mouse_move,,*2719,*1690,
1788191379.0695915,mouse_move,,*2722,*1689,
1788191379.090375,mouse_move,,*2724,*1689,
1788191379.1102211,mouse_move,,*2726,*1691,
1788191379.1268113,mouse_move,,*2728,*1692,
1788191379.1494377,mouse_move,,*2730,*1694,
1788191379.1784003,mouse_move,,*2733,*1697,
1788191379.1947577,mouse_move,,*2739,*1699,
1788191379.2226079,mouse_move,,*2743,*1699,
1788191379.247038,mouse_move,,*2746,*1697,
1788191379.283278,mouse_move,,*2749,*1694,
1788191379.3131144,mouse_move,,*2755,*1694,
1788191379.3299668,mouse_move,,*2760,*1694,
1788191379.3478062,mouse_move,,*2764,*1696,
1788191379.3705986,mouse_move,,*2770,*1698,
1788191379.3930445,mouse_move,,*2774,*1695,
1788191379.4190164,mouse_move,,*2779,*1696,
1788191379.4464307,mouse_move,,*2784,*1698,
1788191379.4778206,mouse_move,,*2789,*1698,
1788191379.5017607,mouse_move,,*2793,*1698,
1788191379.5176854,mouse_move,,*2797,*1693,
1788191379.5541217,mouse_move,,*2804,*1692,
1788191379.5730538,mouse_move,,*2813,*1688,
1788191379.5925357,mouse_move,,*2821,*1684,
1788191379.6148021,mouse_move,,*2827,*1680,
1788191379.6368215,mouse_move,,*2831,*1676,
1788191379.6664202,mouse_move,,*2834,*1671,
1788191379.70249,mouse_move,,*2837,*1665,
1788191379.7261345,mouse_move,,*2840,*1660,
1788191379.760324,mouse_move,,*2841,*1654,
1788191379.7906284,mouse_move,,*2845,*1647,
1788191379.8116558,mouse_move,,*2847,*1641,
1788191379.854669,mouse_move,,*2849,*1634,
1788191379.8759215,mouse_move,,*2853,*1628,
1788191379.9008172,mouse_move,,*2855,*1623,
1788191379.9373407,mouse_move,,*2854,*1617,
1788191380.4705749,mouse_move,,*2854,*1612,
1788191380.5043776,mouse_move,,*2854,*1608,
1788191380.530091,mouse_move,,*2855,*1602,
1788191380.5507872,mouse_move,,*2856,*1596,
1788191380.58146,mouse_move,,*2857,*1589,
1788191380.5963273,mouse_move,,*2855,*1585,
1788191380.6260414,mouse_move,,*2854,*1579,
1788191380.648844,mouse_move,,*2855,*1574,
1788191380.6734297,mouse_move,,*2854,*1570,
1788191380.6936839,mouse_move,,*2853,*1567,
1788191380.7189271,mouse_move,,*2853,*1563,
1788191380.7460823,mouse_move,,*2853,*1557,
1788191380.768062,mouse_move,,*2854,*1552,
1788191380.7882364,mouse_move,,*2855,*1547,
1788191380.810732,mouse_move,,*2855,*1540,
1788191380.8287735,mouse_move,,*2855,*1534,
1788191380.8560665,mouse_move,,*2856,*1529,
1788191380.875059,mouse_move,,*2855,*1524,
1788191380.8970563,mouse_move,,*2854,*1519,
1788191380.9109554,mouse_move,,*2851,*1514,
1788191380.9235585,mouse_move,,*2847,*1507,
1788191380.9497557,mouse_move,,*2844,*1501,
1788191380.9776816,mouse_move,,*2839,*1496,
1788191380.9965565,mouse_move,,*2836,*1492,
1788191381.0296006,mouse_move,,*2831,*1485,
1788191381.04268,mouse_move,,*2826,*1479,
1788191381.0568573,mouse_move,,*2820,*1473,
1788191381.0909753,mouse_move,,*2815,*1469,
1788191381.1063282,mouse_move,,*2811,*1463,
1788191381.1355035,mouse_move,,*2807,*1458,
1788191381.1594105,mouse_move,,*2800,*1455,
1788191381.183385,mouse_move,,*2795,*1454,
1788191381.2057943,mouse_move,,*2792,*1450,
1788191381.237374,mouse_move,,*2785,*1447,
1788191381.2634914,mouse_move,,*2781,*1444,
1788191381.2920337,mouse_move,,*2776,*1442,
1788191381.3171484,mouse_move,,*2771,*1440,
1788191381.3449125,mouse_move,,*2766,*1439,
1788191381.3696268,mouse_move,,*2761,*1439,
1788191381.3886158,mouse_move,,*2756,*1435,
1788191381.404853,mouse_move,,*2750,*1433,
1788191381.4256914,mouse_move,,*2746,*1430,
1788191381.4448092,mouse_move,,*2743,*1429,
1788191381.4658582,mouse_move,,*2740,*1428,
1788191381.496636,mouse_move,,*2736,*1427,
1788191381.5410821,mouse_move,,*2732,*1426,
1788191381.564686,mouse_move,,*2729,*1425,
1788191381.5866742,mouse_move,,*2725,*1424,
1788191381.6158454,mouse_move,,*2722,*1424,
1788191381.6425512,mouse_move,,*2718,*1423,
1788191381.6634402,mouse_move,,*2713,*1421,
1788191381.6792903,mouse_move,,*2709,*1419,
1788191381.698681,mouse_move,,*2706,*1419,
1788191381.7192228,mouse_move,,*2701,*1419,
1788191381.742066,mouse_move,,*2698,*1417,
1788191382.1850896,mouse_click,down,*2698,*1417,Button.left
1788191382.237934,mouse_click,up,*2698,*1417,Button.left
1788191382.25986,mouse_move,,*2694,*1416,
1788191382.2770634,mouse_move,,*2691,*1414,
1788191382.2996325,mouse_move,,*2687,*1410,
1788191382.322012,mouse_move,,*2683,*1406,
1788191382.3397381,mouse_move,,*2679,*1405,
1788191382.3629062,mouse_move,,*2675,*1402,
1788191382.391924,mouse_move,,*2670,*1399,
1788191382.4221005,mouse_move,,*2669,*1396,
1788191382.4428737,mouse_move,,*2666,*1395,
1788191382.4744897,mouse_move,,*2664,*1394,
1788191382.490127,mouse_move,,*2662,*1390,
1788191382.5178185,mouse_move,,*2660,*1389,
1788191382.5283566,mouse_move,,*2658,*1388,
1788191382.5541997,mouse_move,,*2655,*1386,
1788191382.57468,mouse_move,,*2653,*1383,
1788191382.6036012,mouse_move,,*2649,*1381,
1788191382.8406081,keyboard,down,*,*,
1788191383.9925377,keyboard,up,*,*,
1788191384.0174866,mouse_move,,*2648,*1380,
1788191384.043368,mouse_move,,*2645,*1375,
1788191384.069672,mouse_move,,*2642,*1371,
1788191384.1115358,mouse_move,,*2639,*1369,
1788191384.1471677,mouse_move,,*2637,*1368,
1788191384.1659951,mouse_move,,*2636,*1367,
1788191384.1886473,mouse_move,,*2632,*1365,
1788191384.2966092,keyboard,down,*,*,
1788191384.3589957,keyboard,down,*,*,
1788191384.8825417,keyboard,up,*,*,
1788191385.0024922,keyboard,up,*,*,
1788191385.034565,mouse_move,,*2630,*1362,
1788191385.05842,mouse_move,,*2628,*1361,
1788191385.0804477,mouse_move,,*2627,*1358,
1788191385.1195393,mouse_move,,*2626,*1356,
1788191385.1477952,mouse_move,,*2625,*1355,
1788191385.1743555,mouse_move,,*2621,*1353,
1788191385.1978505,mouse_move,,*2617,*1350,
1788191385.22568,mouse_move,,*2616,*1347,
