timestamp,event_type,key_state,*mouse_x,*mouse_y,mouse_button
1788191374.0304205,mouse_click,up,*2951,*1657,Button.left
1788191374.6642618,mouse_move,,*2949,*1660,
1788191374.6918561,mouse_move,,*2948,*1662,
1788191374.7037966,mouse_move,,*2949,*1665,
1788191374.7258332,mouse_move,,*2951,*1668,
1788191374.7402675,mouse_move,,*2953,*1669,
1788191374.7540085,mouse_move,,*2956,*1670,
1788191374.7754745,mouse_move,,*2959,*1669,
1788191374.784332,mouse_move,,*2962,*1668,
1788191374.8134863,mouse_move,,*2964,*1666,
1788191374.8318732,mouse_move,,*2965,*1665,
1788191374.8541458,mouse_move,,*2962,*1665,
1788191374.871224,mouse_move,,*2959,*1666,
1788191374.899532,mouse_move,,*2958,*1669,
1788191374.9229665,mouse_move,,*2958,*1671,
1788191374.933173,mouse_move,,*2958,*1674,
1788191374.948525,mouse_move,,*2960,*1677,
1788191374.959087,mouse_move,,*2963,*1678,
1788191374.9699004,mouse_move,,*2965,*1679,
1788191374.9818559,mouse_move,,*2962,*1682,
1788191374.9982197,mouse_move,,*2961,*1685,
1788191375.0301757,mouse_move,,*2962,*1688,
1788191375.0485113,mouse_move,,*2964,*1691,
1788191375.0680006,mouse_move,,*2965,*1693,
1788191375.0920002,mouse_move,,*2964,*1697,
1788191375.111681,mouse_move,,*2964,*1699,
1788191375.1291049,mouse_move,,*2965,*1702,
1788191375.1502872,mouse_move,,*2965,*1705,
1788191375.1743524,mouse_move,,*2965,*1708,
1788191375.2057908,mouse_move,,*2965,*1711,
1788191375.223117,mouse_move,,*2965,*1715,
1788191375.2379382,mouse_move,,*2965,*1718,
1788191375.2472553,mouse_move,,*2965,*1721,
1788191375.7304096,mouse_move,,*2965,*1724,
1788191375.7533395,mouse_move,,*2965,*1727,
1788191375.7668428,mouse_move,,*2965,*1730,
1788191375.7805862,mouse_move,,*2965,*1733,
1788191375.8126798,mouse_move,,*2965,*1736,
1788191375.8322384,mouse_move,,*2965,*1739,
1788191375.8453987,mouse_move,,*2965,*1742,
1788191375.86268,mouse_move,,*2965,*1746,
1788191375.8871229,mouse_move,,*2965,*1749,
1788191375.904089,mouse_move,,*2965,*1752,
1788191375.9175532,mouse_move,,*2965,*1756,
1788191375.9330256,mouse_move,,*2965,*1759,
1788191375.9455576,mouse_move,,*2965,*1763,
1788191375.9738367,mouse_move,,*2965,*1766,
1788191375.9961925,mouse_move,,*2965,*1770,
1788191376.0098445,mouse_move,,*2965,*1773,
1788191376.023939,mouse_move,,*2965,*1777,
1788191376.040527,mouse_move,,*2965,*1780,
1788191376.0522351,mouse_move,,*2965,*1783,
1788191376.0726483,mouse_move,,*2965,*1786,
1788191376.0983064,mouse_move,,*2965,*1789,
1788191376.114729,mouse_move,,*2965,*1792,
1788191376.1426272,mouse_move,,*2965,*1796,
1788191376.1626363,mouse_move,,*2965,*1798,
1788191376.1697886,mouse_move,,*2965,*1801,
1788191376.1941926,mouse_move,,*2965,*1805,
1788191376.4201567,mouse_move,,*2965,*1809,
1788191376.4394236,mouse_move,,*2965,*1812,
1788191376.4562163,mouse_move,,*2965,*1816,
1788191376.480807,mouse_move,,*2965,*1819,
1788191376.4987218,mouse_move,,*2965,*1822,
1788191376.518848,mouse_move,,*2965,*1825,
1788191376.5380754,mouse_move,,*2965,*1828,
1788191376.5657027,mouse_move,,*2965,*1832,
1788191376.5778215,mouse_move,,*2965,*1835,
1788191376.5984447,mouse_move,,*2965,*1838,
1788191376.6156347,mouse_move,,*2965,*1841,
1788191376.639794,mouse_move,,*2965,*1845,
1788191376.655755,mouse_move,,*2965,*1848,
1788191376.6703358,mouse_move,,*2965,*1851,
1788191376.6957462,mouse_move,,*2965,*1854,
1788191376.713249,mouse_move,,*2965,*1858,
1788191376.8367019,mouse_move,,*2965,*1861,
1788191376.8487635,mouse_move,,*2963,*1858,
1788191376.8711252,mouse_move,,*2962,*1856,
1788191376.8932343,mouse_move,,*2960,*1853,
1788191376.9032884,mouse_move,,*2958,*1850,
1788191376.9335384,mouse_move,,*2957,*1847,
1788191376.9616075,mouse_move,,*2955,*1844,
1788191376.9805493,mouse_move,,*2953,*1841,
1788191377.003922,mouse_move,,*2952,*1838,
1788191377.0127783,mouse_move,,*2950,*1835,
1788191377.0283072,mouse_move,,*2948,*1832,
1788191377.0498803,mouse_move,,*2946,*1829,
1788191377.068385,mouse_move,,*2943,*1826,
1788191377.089573,mouse_move,,*2940,*1823,
1788191377.1097894,mouse_move,,*2937,*1820,
1788191377.12291,mouse_move,,*2934,*1818,
1788191377.134631,mouse_move,,*2931,*1816,
1788191377.1463575,mouse_move,,*2927,*1814,
1788191377.1576557,mouse_move,,*2924,*1812,
1788191377.1703227,mouse_move,,*2921,*1810,
1788191377.1905985,mouse_move,,*2917,*1809,
1788191377.214993,mouse_move,,*2914,*1807,
1788191377.2307096,mouse_move,,*2910,*1805,
1788191377.2425635,mouse_move,,*2906,*1804,
1788191377.2610822,mouse_move,,*2903,*1803,
1788191377.2775948,mouse_move,,*2899,*1801,
1788191377.2926924,mouse_move,,*2895,*1800,
1788191377.31505,mouse_move,,*2892,*1798,
1788191377.3322847,mouse_move,,*2888,*1798,
1788191377.3469384,mouse_move,,*2884,*1797,
1788191377.361599,mouse_move,,*2880,*1796,
1788191377.386037,mouse_move,,*2876,*1794,
1788191377.4069648,mouse_move,,*2872,*1794,
1788191377.4268048,mouse_move,,*2868,*1793,
1788191377.4525142,mouse_move,,*2864,*1792,
1788191377.4675941,mouse_move,,*2860,*1792,
1788191377.4848604,mouse_move,,*2855,*1791,
1788191377.5094895,mouse_move,,*2851,*1790,
1788191377.5246637,mouse_move,,*2847,*1789,
1788191377.5557659,mouse_move,,*2843,*1788,
1788191377.6921468,mouse_click,down,*2843,*1788,Button.left
1788191378.4201617,mouse_click,up,*2843,*1788,Button.left
1788191378.4338224,mouse_move,,*2840,*1787,
1788191378.4430795,mouse_move,,*2836,*1786,
1788191378.4578834,mouse_move,,*2832,*1784,
1788191378.4738636,mouse_move,,*2828,*1783,
1788191378.4967523,mouse_move,,*2824,*1782,
1788191378.515494,mouse_move,,*2820,*1781,
1788191378.534443,mouse_move,,*2817,*1780,
1788191378.54736,mouse_move,,*2813,*1779,
1788191378.562532,mouse_move,,*2809,*1779,
1788191378.5888007,mouse_move,,*2806,*1779,
1788191378.60529,mouse_move,,*2802,*1778,
1788191378.6315265,mouse_move,,*2799,*1777,
