timestamp,event_type,key_state,mouse_x,mouse_y,mouse_button
1788200162.6809292,mouse_move,,1615,664,
1788200162.7603822,mouse_move,,1614,664,
1788200162.776419,mouse_move,,1613,666,
1788200162.784451,mouse_move,,1613,667,
1788200162.7924235,mouse_move,,1613,668,
1788200162.8007495,mouse_move,,1613,669,
1788200162.8083158,mouse_move,,1613,670,
1788200162.8162727,mouse_move,,1613,674,
1788200162.8242502,mouse_move,,1613,675,
1788200162.8322845,mouse_move,,1613,679,
1788200162.8403542,mouse_move,,1613,680,
1788200162.856356,mouse_move,,1613,681,
1788200162.872315,mouse_move,,1613,682,
1788200162.9366727,mouse_move,,1616,684,
1788200162.9443514,mouse_move,,1628,684,
1788200162.952319,mouse_move,,1648,671,
1788200162.9603264,mouse_move,,1668,654,
1788200162.9683907,mouse_move,,1700,621,
1788200162.97628,mouse_move,,1752,569,
1788200162.9842715,mouse_move,,1801,517,
1788200162.99232,mouse_move,,1875,443,
1788200163.0003247,mouse_move,,1961,349,
1788200163.008383,mouse_move,,2036,270,
1788200163.0162473,mouse_move,,2106,191,
1788200163.0243242,mouse_move,,2186,112,
1788200163.0323231,mouse_move,,2259,47,
1788200163.0403697,mouse_move,,2315,-3,
1788200163.0485787,mouse_move,,2365,-36,
1788200163.056287,mouse_move,,2403,-27,
1788200163.0643342,mouse_move,,2442,-26,
1788200163.0723152,mouse_move,,2469,-18,
1788200163.080348,mouse_move,,2484,-8,
1788200163.0883725,mouse_move,,2498,-4,
1788200163.0963073,mouse_move,,2505,-5,
1788200163.1045046,mouse_move,,2506,0,
1788200163.200448,mouse_move,,2507,0,
1788200163.248425,mouse_move,,2507,2,
1788200163.2564123,mouse_move,,2507,5,
1788200163.264325,mouse_move,,2507,6,
1788200163.27233,mouse_move,,2507,9,
1788200163.2802606,mouse_move,,2506,15,
1788200163.2883203,mouse_move,,2503,21,
1788200163.2963684,mouse_move,,2499,30,
1788200163.3044286,mouse_move,,2499,33,
1788200163.3124542,mouse_move,,2499,41,
1788200163.3203392,mouse_move,,2499,47,
1788200163.328315,mouse_move,,2499,53,
1788200163.336308,mouse_move,,2499,55,
1788200163.344377,mouse_move,,2499,61,
1788200163.352314,mouse_move,,2502,68,
1788200163.360335,mouse_move,,2502,70,
1788200163.3683164,mouse_move,,2505,77,
