timestamp,event_type,key_state,mouse_x,mouse_y,mouse_button
1788199944.065482,mouse_move,,1706,668,
1788199944.128607,mouse_move,,1708,669,
1788199944.5685349,mouse_move,,1710,671,
1788199944.5764086,mouse_move,,1713,672,
1788199944.5845156,mouse_move,,1714,673,
1788199944.5924194,mouse_move,,1715,673,
1788199944.6004488,mouse_move,,1718,673,
1788199944.608491,mouse_move,,1719,673,
1788199944.616453,mouse_move,,1721,673,
1788199944.6244311,mouse_move,,1727,673,
1788199944.6324167,mouse_move,,1740,667,
1788199944.6405318,mouse_move,,1758,647,
1788199944.6485846,mouse_move,,1790,614,
1788199944.656457,mouse_move,,1859,546,
1788199944.6644635,mouse_move,,1922,483,
1788199944.6724284,mouse_move,,1995,413,
1788199944.680434,mouse_move,,2065,340,
1788199944.6884315,mouse_move,,2135,261,
1788199944.6966555,mouse_move,,2210,183,
1788199944.7044609,mouse_move,,2280,109,
1788199944.7124503,mouse_move,,2343,46,
1788199944.72081,mouse_move,,2400,-4,
1788199944.7284977,mouse_move,,2445,-35,
1788199944.7364805,mouse_move,,2482,-23,
1788199944.7444527,mouse_move,,2513,-15,
1788199944.752433,mouse_move,,2532,-9,
1788199944.7604902,mouse_move,,2547,-6,
1788199944.768454,mouse_move,,2556,-4,
1788199944.7764611,mouse_move,,2558,-1,
1788199944.784591,mouse_move,,2560,0,
1788199944.840762,mouse_move,,2561,-1,
1788199944.848404,mouse_move,,2565,-2,
1788199944.8564553,mouse_move,,2566,-2,
1788199944.86438,mouse_move,,2570,-3,
1788199944.8723478,mouse_move,,2575,-5,
1788199944.8804367,mouse_move,,2578,-1,
1788199944.8883603,mouse_move,,2581,-3,
1788199944.896364,mouse_move,,2587,-3,
1788199944.9044917,mouse_move,,2588,-1,
1788199944.912431,mouse_move,,2594,-3,
1788199944.920361,mouse_move,,2598,-2,
1788199944.928443,mouse_move,,2603,-3,
1788199944.9365106,mouse_move,,2607,-1,
1788199944.9444144,mouse_move,,2610,-2,
1788199944.9524903,mouse_move,,2616,-5,
1788199944.9604497,mouse_move,,2619,0,
1788199944.9684603,mouse_move,,2623,0,
1788199944.9764166,mouse_move,,2626,-1,
1788199944.9844377,mouse_move,,2628,0,
1788199945.120544,mouse_move,,2631,0,
1788199945.2010164,mouse_move,,2632,0,
1788199945.344554,mouse_click,down,2632,0,Button.left
1788199945.4568136,mouse_click,up,2632,0,Button.left
1788199945.6084473,mouse_move,,2632,0,
1788199945.616443,mouse_move,,2628,0,
1788199945.6244283,mouse_move,,2622,2,
1788199945.6324747,mouse_move,,2611,4,
1788199945.640867,mouse_move,,2602,6,
1788199945.6484659,mouse_move,,2585,12,
1788199945.6564374,mouse_move,,2568,16,
1788199945.6643968,mouse_move,,2554,22,
1788199945.6724842,mouse_move,,2530,29,
