timestamp,event_type,key_state,mouse_x,mouse_y,mouse_button
1788199635.296499,mouse_move,,171,412,
1788199635.304471,mouse_move,,167,412,
1788199635.3125062,mouse_move,,164,412,
1788199635.3207872,mouse_move,,160,412,
1788199635.3365865,mouse_move,,159,412,
1788199635.6408556,mouse_move,,158,412,
1788199635.6488612,mouse_move,,154,412,
1788199635.656991,mouse_move,,151,412,
1788199635.664521,mouse_move,,147,412,
1788199635.6724806,mouse_move,,146,412,
1788199635.7126546,mouse_move,,145,412,
1788199635.865136,mouse_click,down,145,412,Button.left
1788199635.969197,mouse_click,up,145,412,Button.left
1788199636.1050775,mouse_move,,145,412,
1788199636.1127186,mouse_move,,147,412,
1788199636.1205904,mouse_move,,151,412,
1788199636.1284947,mouse_move,,154,412,
1788199636.1364639,mouse_move,,160,412,
1788199636.1445794,mouse_move,,168,412,
1788199636.1525545,mouse_move,,170,412,
1788199636.160534,mouse_move,,178,412,
1788199636.1685896,mouse_move,,192,412,
1788199636.1765556,mouse_move,,203,412,
1788199636.184564,mouse_move,,216,412,
1788199636.19254,mouse_move,,224,412,
1788199636.2005477,mouse_move,,233,412,
1788199636.2085617,mouse_move,,251,412,
1788199636.2165067,mouse_move,,273,407,
1788199636.224471,mouse_move,,292,405,
1788199636.2325428,mouse_move,,311,403,
1788199636.240483,mouse_move,,330,403,
1788199636.2485244,mouse_move,,349,396,
1788199636.25663,mouse_move,,360,394,
1788199636.2645495,mouse_move,,366,394,
1788199636.2725365,mouse_move,,372,394,
1788199636.280469,mouse_move,,373,394,
1788199636.2885606,mouse_move,,376,393,
1788199636.4166508,mouse_move,,375,390,
1788199636.424534,mouse_move,,374,389,
1788199636.4325047,mouse_move,,372,388,
1788199636.4405298,mouse_move,,369,387,
1788199636.4485517,mouse_move,,365,384,
1788199636.4566028,mouse_move,,356,382,
1788199636.4645379,mouse_move,,352,380,
1788199636.4725373,mouse_move,,340,380,
1788199636.48048,mouse_move,,331,379,
1788199636.4885795,mouse_move,,320,379,
1788199636.4965339,mouse_move,,306,375,
1788199636.5045254,mouse_move,,293,375,
1788199636.5125844,mouse_move,,279,375,
1788199636.520639,mouse_move,,265,373,
1788199636.5285559,mouse_move,,257,371,
1788199636.536485,mouse_move,,243,369,
1788199636.5450902,mouse_move,,224,369,
1788199636.5530634,mouse_move,,211,369,
1788199636.5605438,mouse_move,,195,369,
1788199636.568545,mouse_move,,181,369,
1788199636.5765421,mouse_move,,165,369,
1788199636.5845537,mouse_move,,147,369,
1788199636.5925517,mouse_move,,136,369,
1788199636.600557,mouse_move,,127,370,
1788199636.608548,mouse_move,,115,376,
1788199636.6164815,mouse_move,,109,379,
1788199636.6244767,mouse_move,,106,382,
1788199636.632471,mouse_move,,101,386,
1788199636.6405485,mouse_move,,100,391,
1788199636.648488,mouse_move,,98,405,
1788199636.6566675,mouse_move,,98,419,
1788199636.6645322,mouse_move,,98,432,
1788199636.6725116,mouse_move,,98,446,
1788199636.6804903,mouse_move,,98,459,
1788199636.6885562,mouse_move,,98,475,
1788199636.696511,mouse_move,,101,487,
1788199636.7045383,mouse_move,,105,498,
1788199636.7125669,mouse_move,,111,515,
1788199636.7205684,mouse_move,,115,527,
1788199636.728478,mouse_move,,123,541,
1788199636.7365077,mouse_move,,127,550,
1788199636.744579,mouse_move,,133,562,
1788199636.75256,mouse_move,,136,566,
1788199636.7604828,mouse_move,,141,575,
1788199636.7684882,mouse_move,,146,584,
1788199636.7765837,mouse_move,,151,587,
1788199636.7845502,mouse_move,,157,592,
1788199636.792549,mouse_move,,160,594,
1788199636.8005793,mouse_move,,167,597,
1788199636.8085704,mouse_move,,171,598,
1788199636.81682,mouse_move,,179,598,
1788199636.8244743,mouse_move,,188,600,
1788199636.8325694,mouse_move,,199,602,
1788199636.8405538,mouse_move,,210,602,
1788199636.8485148,mouse_move,,223,602,
1788199636.8565776,mouse_move,,237,602,
1788199636.8645558,mouse_move,,255,602,
1788199636.8728228,mouse_move,,269,602,
1788199636.880481,mouse_move,,285,602,
1788199636.888563,mouse_move,,299,601,
1788199636.8965464,mouse_move,,318,592,
1788199636.9045334,mouse_move,,330,582,
1788199636.9125085,mouse_move,,342,576,
1788199636.9208977,mouse_move,,357,564,
1788199636.9285545,mouse_move,,369,555,
1788199636.93648,mouse_move,,379,546,
1788199636.9445167,mouse_move,,389,536,
1788199636.9525044,mouse_move,,396,529,
1788199636.9605367,mouse_move,,399,522,
1788199636.9684715,mouse_move,,401,518,
1788199636.9765377,mouse_move,,401,513,
1788199636.9844782,mouse_move,,401,509,
1788199636.9925127,mouse_move,,401,505,
1788199637.0005558,mouse_move,,401,502,
