key_dwell_mean,key_dwell_std,key_dwell_median,flight_time_mean,flight_time_std,flight_time_median,typing_event_rate,mouse_velocity_mean,mouse_velocity_std,mouse_distance_mean,mouse_direction_change,click_interval_mean,click_interval_std,window_start,window_end
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2074.734092775895,3080.8185111582948,16.86392270737093,0.26680532147837116,0.9686822891235352,0.0,0.0,30.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1688.1917037245644,1885.4311503413614,13.758969868376077,0.1960470782088577,0.0,0.0,30.0,60.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.056278273965425,50.74967551319367,1.5984525696948122,0.3301182551364803,0.0,0.0,60.0,90.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.97732256480495,88.72243970972141,1.5280281624642575,0.3834981051908183,0.0,0.0,90.0,120.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.084571239905692,18.522622918229366,1.3700970738059524,1.0995574287564278,0.0,0.0,120.0,150.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.45869614483442,166.23128612954642,1.8599822757338687,0.3216032446456152,0.0,0.0,150.0,180.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.91058318261904,153.10121975573887,1.8262473163745003,0.412550287133784,0.0,0.0,180.0,210.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.635013882327986,65.10912134093944,1.4040610178208843,0.5235987755982988,0.0,0.0,210.0,240.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.35922830567883,104.6099384272976,1.6076305336418164,0.515605286718633,0.0,0.0,240.0,270.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.92117384286297,487.39042422738163,3.8802769523829626,0.36738536545590883,0.0,0.0,270.0,300.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.447462121283,194.62807548831907,2.2077024616445673,0.35648892622602846,0.0,0.0,300.0,330.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.5506663245132,523.0772885351583,2.695341206907813,0.48393274113825946,0.0,0.0,330.0,360.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.92216378444782,78.84466026399637,1.662886888528506,0.7140950387328987,0.0,0.0,360.0,390.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.9090869314514,1072.4973484782042,9.218420157129138,0.22120440995774976,3.766536092758179,3.088480439325182,390.0,420.0
0.0,0.0,0.0,0.2156081199645996,0.0,0.2156081199645996,9.2760884902126,95.05513807977485,88.0631152295541,1.4635254915624212,0.6731984257692413,0.0,0.0,420.0,450.0
